序號,代碼,校區,供水區,水號,水號格式1,裝置日期,供水區說明,識別碼,水號,繳費年月,水費年,水費月,用水度數,應繳金額,與去年比較增減度數
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,986,51180255228,105/08,105,08,586.0,11373.0,-283.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,996,51180255228,105/09,105,09,818.0,15166.0,342.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1006,51180255228,105/10,105,10,710.0,13400.0,342.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1016,51180255228,105/11,105,11,1256.0,22327.0,697.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1026,51180255228,105/12,105,12,840.0,15526.0,0.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,696,51180255228,103/03,103,03,321.0,7043.0,-256.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,706,51180255228,103/04,103,04,671.0,12763.0,102.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,716,51180255228,103/05,103,05,738.0,13858.0,-50.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,726,51180255228,103/06,103,06,870.0,16016.0,479.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1036,51180255228,106/01,106,01,686.0,13007.0,258.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1046,51180255228,106/02,106,02,484.0,9705.0,128.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1056,51180255228,106/03,106,03,1054.0,19025.0,770.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,786,51180255228,103/12,103,12,799.0,14855.0,505.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,796,51180255228,104/01,104,01,675.0,12829.0,398.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,806,51180255228,104/02,104,02,479.0,9623.0,235.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,816,51180255228,104/03,104,03,652.0,12451.0,331.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1066,51180255228,106/04,106,04,1081.0,19466.0,-789.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1076,51180255228,106/05,106,05,394.0,8233.0,3.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1086,51180255228,106/06,106,06,647.0,12371.0,-266.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1096,51180255228,106/07,106,07,825.0,15281.0,-76.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1106,51180255228,106/08,106,08,820.0,15198.0,234.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1116,51180255228,106/09,106,09,764.0,14283.0,-54.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1126,51180255228,106/10,106,10,812.0,15067.0,102.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1136,51180255228,106/11,106,11,923.0,16883.0,-333.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1146,51180255228,106/12,106,12,1347.0,23815.0,507.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1156,51180255228,107/01,107,01,1183.0,21134.0,497.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1166,51180255228,107/02,107,02,1343.0,23750.0,859.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1176,51180255228,107/03,107,03,2935.0,49779.0,1881.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1186,51180255228,107/04,107,04,1832.0,31744.0,751.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1196,51180255228,107/05,107,05,366.0,7775.0,-28.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1206,51180255228,107/06,107,06,578.0,11242.0,-69.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1216,51180255228,107/06,107,07,521.0,10310.0,-304.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1226,51180255228,107/07,107,08,369.0,7825.0,-451.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1236,51180255228,107/08,107,09,430.0,8822.0,-334.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1246,51180255228,107/09,107,10,478.0,9607.0,-334.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1256,51180255228,107/10,107,11,887.0,16295.0,-36.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1266,51180255228,107/11,107,12,561.0,10964.0,-786.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1276,51180255228,108/01,108,01,203.0,5111.0,-980.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1286,51180255228,108/02,108,02,2461.0,42030.0,1118.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1296,51180255228,108/03,108,03,639.0,12239.0,-2296.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1306,51180255228,108/04,108,04,1086.0,19547.0,-746.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1316,51180255228,108/05,108,05,2387.0,40819.0,2021.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1326,51180255228,108/06,108,06,584.0,11340.0,6.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1336,51180255228,108/07,108,07,503.0,10016.0,-18.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1346,51180255228,108/08,108,08,322.0,7056.0,-47.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1356,51180255228,108/09,108,09,1017.0,18420.0,587.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1366,51180255228,108/10,108,10,392.0,8200.0,-86.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1376,51180255228,108/11,108,11,447.0,9101.0,-440.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1386,51180255228,108/12,108,12,361.0,7694.0,-200.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1396,51180255228,109/01,109,01,224.0,5454.0,21.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1406,51180255228,109/02,109,02,235.0,5635.0,-2226.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1416,51180255228,109/03,109,03,309.0,6843.0,-330.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1426,51180255228,109/04,109,04,450.0,9149.0,-636.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1436,51180255228,109/05,109,05,181.0,4752.0,-2206.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1446,51180255228,109/06,109,06,298.0,6664.0,-286.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1456,51180255228,109/07,109,07,397.0,8283.0,-106.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1466,51180255228,109/08,109,08,457.0,9264.0,135.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1476,51180255228,109/09,109,09,421.0,8676.0,-596.0
2.0,A2,蘭潭,蘭潭-能源學系,51180255228,51-1802-5522-8,2002-10-21 00:00:00,機械與能源學系、創新育成中心大樓用水,1486,51180255228,109/10,109,10,1985.0,34247.0,1593.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,231,5118000200K,101/08,101,08,1388.0,23543.0,414.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,241,5118000200K,101/09,101,09,1168.0,19945.0,523.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,251,5118000200K,101/10,101,10,1230.0,20959.0,218.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,261,5118000200K,101/11,101,11,1450.0,24556.0,495.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,271,5118000200K,101/12,101,12,1684.0,28382.0,844.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,279,5118000200K,102/01,102,01,1619.0,27319.0,739.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,283,5118000200K,102/02,102,02,1867.0,31374.0,685.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,293,5118000200K,102/03,102,03,1711.0,28824.0,478.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,309,5118000200K,097/01,097,01,1709.0,28790.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,317,5118000200K,097/02,097,02,1995.0,33468.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,453,5118000200K,098/07,098,07,1115.0,19080.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,461,5118000200K,098/08,098,08,1193.0,20355.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,469,5118000200K,098/09,098,09,942.0,16249.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,477,5118000200K,098/10,098,10,1138.0,19455.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,485,5118000200K,098/11,098,11,1369.0,23232.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,493,5118000200K,098/12,098,12,1375.0,23330.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,501,5118000200K,099/01,099,01,1557.0,26306.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,509,5118000200K,099/02,099,02,1250.0,21286.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,517,5118000200K,099/03,099,03,1057.0,18131.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,525,5118000200K,099/04,099,04,1342.0,22789.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,533,5118000200K,099/05,099,05,1255.0,21368.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,541,5118000200K,099/06,099,06,1264.0,21516.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,1,5118000200K,099/07,099,07,1450.0,24556.0,-107.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,9,5118000200K,099/08,099,08,1286.0,21874.0,-271.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,17,5118000200K,099/09,099,09,1086.0,18604.0,-471.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,25,5118000200K,099/10,099,10,1120.0,19161.0,-437.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,33,5118000200K,099/11,099,11,1409.0,23885.0,-148.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,42,5118000200K,099/12,099,12,1561.0,26371.0,4.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,51,5118000200K,100/01,100,01,1443.0,24441.0,-114.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,60,5118000200K,100/02,100,02,1816.0,30540.0,566.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,69,5118000200K,100/03,100,03,1525.0,25783.0,468.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,78,5118000200K,100/04,100,04,1474.0,24948.0,132.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,87,5118000200K,100/05,100,05,1738.0,29265.0,483.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,96,5118000200K,100/06,100,06,2132.0,35707.0,868.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,105,5118000200K,100/07,100,07,1985.0,33304.0,535.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,114,5118000200K,100/08,100,08,974.0,16774.0,-312.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,123,5118000200K,100/09,100,09,645.0,11395.0,-441.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,132,5118000200K,100/10,100,10,1012.0,17395.0,-108.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,141,5118000200K,100/11,100,11,955.0,16463.0,-454.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,150,5118000200K,100/12,100,12,840.0,14583.0,-721.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,159,5118000200K,101/01,101,01,880.0,15237.0,-563.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,168,5118000200K,101/02,101,02,1182.0,20173.0,-634.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,177,5118000200K,101/03,101,03,1233.0,21008.0,-292.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,186,5118000200K,101/04,101,04,1324.0,22496.0,-150.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,195,5118000200K,101/05,101,05,1343.0,22806.0,-395.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,204,5118000200K,101/06,101,06,1380.0,23411.0,-752.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,221,5118000200K,101/07,101,07,1207.0,20583.0,-778.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,649,5118000200K,102/12,102,12,1883.0,31635.0,199.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,659,5118000200K,102/11,102,11,2487.0,41511.0,1037.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,669,5118000200K,103/01,103,01,1586.0,26780.0,-33.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,679,5118000200K,103/02,103,02,1598.0,26977.0,-269.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,689,5118000200K,103/03,103,03,1365.0,23167.0,-346.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,325,5118000200K,097/03,097,03,1629.0,27482.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,333,5118000200K,097/04,097,04,1379.0,23396.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,341,5118000200K,097/05,097,05,1274.0,21678.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,349,5118000200K,097/06,097,06,1384.0,23477.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,357,5118000200K,097/07,097,07,1487.0,25162.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,365,5118000200K,097/08,097,08,1436.0,24326.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,373,5118000200K,097/09,097,09,800.0,13929.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,381,5118000200K,097/10,097,10,792.0,13797.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,389,5118000200K,097/11,097,11,1443.0,24442.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,397,5118000200K,097/12,097,12,1050.0,18016.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,405,5118000200K,098/01,098,01,956.0,16478.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,413,5118000200K,098/02,098,02,1128.0,19291.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,421,5118000200K,098/03,098,03,2201.0,36835.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,429,5118000200K,098/04,098,04,1924.0,32306.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,437,5118000200K,098/05,098,05,1370.0,23248.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,445,5118000200K,098/06,098,06,1001.0,17215.0,None
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,543,5118000200K,102/04,102,04,1524.0,25766.0,200.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,553,5118000200K,102/05,102,05,1919.0,32224.0,576.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,563,5118000200K,102/06,102,06,1566.0,26452.0,186.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,573,5118000200K,102/08,102,08,1354.0,22986.0,-34.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,619,5118000200K,102/09,102,09,1347.0,22872.0,179.0
3.0,A3,蘭潭,蘭潭-宿舍區,5118000200K,51-1800-0200-K,1981-04-11 00:00:00,學生1、2舍、學苑餐廳及管理室等用水,629,5118000200K,102/10,102,10,2164.0,36230.0,934.0
