序號,代碼,校區,供水區,水號,水號格式1,裝置日期,供水區說明,識別碼,水號,繳費年月,水費年,水費月,用水度數,應繳金額,與去年比較增減度數
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),66,51180002015,100/02,100,02,30253.0,496431.0,3132.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),75,51180002015,100/03,100,03,35838.0,587747.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),84,51180002015,100/04,100,04,29703.0,487439.0,-2901.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),93,51180002015,100/05,100,05,29516.0,484380.0,-2065.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),102,51180002015,100/06,100,06,31802.0,521757.0,3864.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),111,51180002015,100/07,100,07,32519.0,533480.0,102.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),120,51180002015,100/08,100,08,31318.0,513845.0,1526.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),129,51180002015,100/09,100,09,35881.0,588449.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),138,51180002015,100/10,100,10,35769.0,586618.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),147,51180002015,100/11,100,11,37487.0,614708.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),156,51180002015,100/12,100,12,34886.0,572180.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),165,51180002015,101/01,101,01,35361.0,579947.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),174,51180002015,101/02,101,02,35749.0,586290.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),183,51180002015,101/03,101,03,42370.0,694544.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),192,51180002015,101/04,101,04,32188.0,528069.0,2485.0
