"代碼","校區","校區電號別","電號","收費年","收費月","用電數","應繳總金額","經常(尖峰)契約容量","經常(尖峰)最高需量","離峰最高需量","功率因數","尖峰用電度數","半尖峰用電度數","週六半尖峰用電度數","週六半尖峰最高需量","離峰用電度","去年同期用電度數","基本電費","流動電費","半尖峰最高需量","功率因數調整費","超約附加費","免印寄單據減收","配合減少用電減收","停電扣減","其他加減收"
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","01",1340800.00,3816917.00,4700.00,3000.00,2080.00,95.00,742400.00,,117600.00,2216.00,480800.00,1475200.00,784430.00,3120344.00,,-87857.40,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","02",1090400.00,3199912.00,4700.00,2512.00,1896.00,96.00,582400.00,,84000.00,1688.00,424000.00,936000.00,784430.00,2494168.30,,-78686.30,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","03",934400.00,2719540.00,4700.00,2512.00,1592.00,96.00,421600.00,,64000.00,1776.00,448800.00,1376000.00,784430.00,2001983.90,,-66873.90,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","04",1458400.00,4081857.00,4700.00,3776.00,2328.00,96.00,808800.00,,130400.00,2304.00,519200.00,1478400.00,784430.00,3397800.50,,-100373.50,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","05",1296000.00,3725648.00,4700.00,3712.00,2248.00,96.00,734400.00,,96000.00,2064.00,465600.00,1558400.00,784430.00,3032832.20,,-91614.20,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","06",1607200.00,4556044.00,4700.00,4640.00,2608.00,96.00,992000.00,,97600.00,3232.00,517600.00,1986400.00,784430.00,3883647.80,,-112033.80,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","07",1788800.00,5325576.00,4700.00,4880.00,3312.00,95.00,1036000.00,,152800.00,3256.00,600000.00,1942400.00,1006505.00,4402220.30,,-121696.30,38547.00,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","08",1685600.00,5181889.00,4700.00,4520.00,2504.00,96.00,1027200.00,,138400.00,3064.00,520000.00,1986400.00,1050920.00,4258392.40,,-127423.40,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","09",1586400.00,4931502.00,4700.00,4320.00,2184.00,96.00,965600.00,,124000.00,2608.00,496800.00,1681600.00,1050920.00,4001848.40,,-121266.40,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","10",1700800.00,5115888.00,4700.00,4416.00,2648.00,96.00,965600.00,,160000.00,3128.00,575200.00,2001600.00,1050920.00,4190768.50,,-125800.50,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","11",1639200.00,4720848.00,4700.00,4552.00,2568.00,96.00,1028000.00,,125600.00,2952.00,485600.00,1706400.00,811079.00,4025855.40,,-116086.40,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","099","12",1265600.00,3683688.00,4700.00,3032.00,2080.00,96.00,731200.00,,100800.00,2272.00,433600.00,1353600.00,784430.00,2989840.40,,-90582.40,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","01",1352000.00,3827105.00,4700.00,2928.00,1992.00,96.00,744800.00,,113600.00,2016.00,493600.00,1340800.00,784430.00,3136784.10,,-94109.10,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","02",1028000.00,3051368.00,4700.00,2328.00,1648.00,97.00,552800.00,,62400.00,1648.00,412800.00,1090400.00,784430.00,2346783.90,,-79845.90,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","03",854400.00,2525293.00,4700.00,2224.00,1400.00,96.00,368800.00,,59200.00,1608.00,426400.00,934400.00,784430.00,1802960.30,,-62097.30,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","04",1263200.00,3566044.00,4700.00,2800.00,1744.00,96.00,659200.00,,106400.00,1728.00,497600.00,1458400.00,784430.00,2869304.00,,-87689.60,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","05",1198400.00,3404605.00,4310.00,3472.00,2336.00,96.00,627200.00,,101600.00,2432.00,469600.00,1296000.00,762733.00,2725592.00,,-83719.80,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","06",1648800.00,4623454.00,4310.00,4696.00,2528.00,96.00,963200.00,,146400.00,2560.00,539200.00,1607200.00,719339.00,3922728.00,,-111409.60,92796.40,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","07",1732000.00,5352398.00,4310.00,4816.00,2832.00,96.00,1045600.00,,135200.00,3288.00,551200.00,1788800.00,947424.20,4340418.70,,-126908.20,191463.20,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","08",1480000.00,4548773.00,4310.00,4056.00,2256.00,96.00,874400.00,,128000.00,2968.00,477600.00,1685600.00,963716.00,3696912.00,,-111855.00,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","09",1664000.00,4999857.00,4310.00,4336.00,2128.00,95.00,971200.00,,157600.00,2936.00,535200.00,1586400.00,963716.00,4145280.00,,-114952.40,5813.60,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","10",1631200.00,5014341.00,4310.00,4520.00,2680.00,95.00,997600.00,,120000.00,2840.00,513600.00,1700800.00,963716.00,4118008.00,,-114338.70,46956.00,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","11",1511200.00,4276065.00,4310.00,4352.00,2472.00,95.00,901600.00,,121600.00,2760.00,488000.00,1639200.00,735630.80,3631529.30,,-98261.10,7168.50,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","100","12",1472000.00,4091260.00,4310.00,4120.00,2456.00,95.00,835200.00,,139200.00,3320.00,497600.00,1265600.00,719339.00,3466096.00,,-94172.20,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","01",1235200.00,3461611.00,4310.00,3344.00,1984.00,94.00,499200.00,216000,93600.00,1976.00,426400.00,1352000.00,719339.00,2816528.00,2616,-74253.10,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","02",1101600.00,2756684.00,4310.00,2304.00,1704.00,94.00,0.00,485600,95200.00,1640.00,520800.00,1028000.00,719339.00,2096480.00,2304,-59132.10,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","03",858400.00,2430638.00,4310.00,,1544.00,94.00,,477600,64800.00,1792.00,316000.00,854400.00,719339.00,1763440.00,2688,-52138.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","04",1337600.00,3380127.00,4310.00,,2088.00,94.00,0.00,728000,117600.00,2464.00,492000.00,1263200.00,719339.00,2733296.00,3264,-72505.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","05",1359200.00,3488878.00,4310.00,,2544.00,95.00,0.00,779200,106400.00,2680.00,473600.00,1198400.00,719339.00,2824920.00,4456,-79745.80,24367.40,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","06",1788000.00,4449889.00,4310.00,,4184.00,95.00,0.00,1025600,149600.00,2736.00,612800.00,1648800.00,719339.00,3721144.00,4744,-99910.80,109319.50,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","07",1557600.00,5242655.00,4310.00,4744.00,2752.00,97.00,417600.00,543200,96000.00,3152.00,500800.00,1732000.00,929113.50,4302981.00,4440,-133418.30,143982.00,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","08",1627200.00,5445403.00,4310.00,4112.00,2104.00,99.00,475200.00,466400,157600.00,2728.00,528000.00,1480000.00,934804.50,4670348.20,3840,-159746.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","09",1437600.00,4990095.00,4310.00,3792.00,1904.00,99.00,443200.00,439200,110400.00,2320.00,444800.00,1664000.00,934804.50,4217940.20,3688,-146389.80,,-3.00,-16257.40,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","10",1439200.00,5008778.00,4310.00,4368.00,2528.00,99.00,436000.00,441600,120000.00,2680.00,441600.00,1631200.00,934804.50,4207565.10,4040,-146557.50,12968.80,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","11",1580000.00,4376963.00,4310.00,4248.00,2352.00,99.00,44000.00,873600,132000.00,2456.00,530400.00,1511200.00,729364.90,3776004.10,3912,-128403.00,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","101","12",1300000.00,3645436.00,4310.00,,2168.00,99.00,0.00,767200,106400.00,2600.00,426400.00,1472000.00,697758.80,3054623.10,3688,-106942.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","01",1087200.00,3108252.00,4310.00,,2032.00,100.00,0.00,605600,93600.00,2160.00,388000.00,1235200.00,697758.80,2506627.40,2712,-96131.50,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","02",1194400.00,3282838.00,4310.00,,1752.00,100.00,0.00,616800,104000.00,1584.00,473600.00,1101600.00,697758.80,2686612.80,2256,-101531.10,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","03",872000.00,2487283.00,4310.00,,1560.00,100.00,0.00,387200,62400.00,1872.00,422400.00,858400.00,697758.80,1866450.70,2712,-76926.20,,,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","04",1199200.00,3362698.00,4310.00,,2088.00,100.00,0.00,674400,93600.00,2272.00,431200.00,1337600.00,697758.80,2768946.40,3416,-104001.10,,-3.00,,,-3
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","05",1300000.00,3546651.00,4310.00,,2152.00,100.00,0.00,694400,117600.00,2384.00,488000.00,1359200.00,697758.80,2958585.30,3792,-109690.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","06",1599200.00,4406363.00,4310.00,,3216.00,99.00,0.00,963200,117600.00,2760.00,518400.00,1788000.00,697758.80,3778087.90,4592,-127561.60,58081.20,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","07",1767200.00,5783562.00,4310.00,4552.00,2816.00,99.00,448000.00,571200,167200.00,3232.00,580800.00,1557600.00,919001.40,4951600.80,4680,-167312.10,80274.90,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","08",1536800.00,5323915.00,4310.00,4000.00,2160.00,99.00,487200.00,473600,100800.00,2784.00,475200.00,1627200.00,934804.50,4545295.80,3848,-156182.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","09",1460000.00,5001621.00,4310.00,3832.00,1968.00,99.00,432800.00,427200,142400.00,2544.00,457600.00,1437600.00,934804.50,4222045.20,3768,-146728.00,,-3.00,-8498.20,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","10",1468800.00,4988357.00,4310.00,4328.00,2496.00,99.00,423200.00,431200,117600.00,3040.00,496800.00,1439200.00,963716.00,4330320.00,3912,-150880.00,8049.60,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","11",1517600.00,4592032.00,4310.00,,2392.00,100.00,0.00,917600,112000.00,2560.00,488000.00,1580000.00,719339.00,4146984.00,4416,-145989.60,35382.80,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","102","12",1273600.00,3892374.00,4310.00,,2248.00,100.00,0.00,717600,129600.00,2848.00,426400.00,1300000.00,719339.00,3421488.00,3456,-124224.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","01",1123200.00,3483813.00,4310.00,,1712.00,100.00,0.00,624800,83200.00,1888.00,415200.00,1087200.00,719339.00,2986848.00,2656,-111185.60,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","02",989600.00,3064550.00,4310.00,,1600.00,100.00,0.00,488800,78400.00,1560.00,422400.00,1194400.00,719339.00,2540824.00,2248,-97804.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","03",870400.00,2752072.00,4310.00,,1520.00,100.00,0.00,417600,56000.00,1432.00,396800.00,872000.00,719339.00,2208400.00,2336,-87832.10,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","04",1178400.00,3602802.00,4310.00,,2808.00,100.00,0.00,632000,113600.00,2960.00,432800.00,1199200.00,719339.00,3113432.00,3232,-114983.10,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","05",1262400.00,3853346.00,4310.00,,2232.00,100.00,0.00,723200,78400.00,2192.00,460800.00,1300000.00,719339.00,3379968.00,3592,-122979.20,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","06",1517600.00,4563090.00,4310.00,,2776.00,100.00,0.00,868800,141600.00,2896.00,507200.00,1599200.00,719339.00,4090272.00,4544,-144288.30,78109.20,-3.00,,,-180339
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","07",1577600.00,5729563.00,4310.00,4264.00,2528.00,99.00,450400.00,475200,129600.00,2872.00,522400.00,1767200.00,963716.00,5121856.00,4008,-173438.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","08",1593600.00,5872389.00,4310.00,4048.00,2208.00,99.00,485600.00,489600,126400.00,2784.00,492000.00,1536800.00,963716.00,5281936.00,3952,-177762.20,,-3.00,-8380.10,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","09",1496800.00,5456506.00,4310.00,3832.00,2088.00,99.00,428000.00,420000,152000.00,2728.00,496800.00,1460000.00,963716.00,4831832.00,3816,-165173.10,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","10",1520000.00,5606798.00,4310.00,4400.00,2584.00,99.00,450400.00,461600,117600.00,2704.00,490400.00,1468800.00,963716.00,4987864.00,4144,-168960.80,40248.00,-3.00,,-23129.20,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","11",1504000.00,4554597.00,4310.00,,2320.00,100.00,0.00,920000,105600.00,2416.00,478400.00,1517600.00,719339.00,4122784.00,4328,-145263.60,6008.40,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","103","12",1228800.00,3735861.00,4310.00,,2216.00,100.00,0.00,662400,124000.00,2640.00,442400.00,1273600.00,719339.00,3254984.00,3184,-119229.60,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","01",1148000.00,3687048.00,4310.00,,1672.00,100.00,0.00,656800,87200.00,1880.00,404000.00,1123200.00,719339.00,3081744.00,2856,-114032.40,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","02",1039200.00,3329800.00,4310.00,,1592.00,100.00,0.00,538400,94400.00,1536.00,406400.00,989600.00,719339.00,2713448.00,2192,-102983.60,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","03",827200.00,2669820.00,4310.00,,1456.00,100.00,0.00,360000,36800.00,1400.00,430400.00,870400.00,719339.00,2033056.00,2392,-82571.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","04",1178400.00,3753132.00,4310.00,,1808.00,100.00,0.00,665600,88800.00,1992.00,424000.00,1178400.00,719339.00,3149872.00,3128,-116076.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","05",1280000.00,3771725.00,4310.00,,2240.00,100.00,0.00,750400,79200.00,2616.00,450400.00,1262400.00,719339.00,3169040.00,3848,-116651.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","06",1592000.00,4480768.00,4310.00,,3480.00,99.00,0.00,880000,155200.00,2824.00,556800.00,1517600.00,719339.00,3892880.00,4176,-131448.20,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","07",1742400.00,6279217.00,4310.00,4560.00,2824.00,99.00,525600.00,566400,104000.00,2904.00,546400.00,1577600.00,963716.00,5384632.00,4280,-180927.90,111800.00,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","08",1485600.00,5224440.00,4310.00,3832.00,2208.00,100.00,442400.00,449600,116000.00,2872.00,477600.00,1593600.00,963716.00,4537808.00,3776,-165045.70,,-3.00,,,-112035
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","09",1368000.00,4888312.00,4310.00,3864.00,1928.00,100.00,383200.00,392000,120000.00,2184.00,472800.00,1496800.00,963716.00,4075784.00,3624,-151185.00,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","10",1456800.00,5296985.00,4310.00,4192.00,2224.00,100.00,438400.00,464800,106400.00,2456.00,447200.00,1520000.00,963716.00,4497096.00,3864,-163824.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","11",1492800.00,4247234.00,4310.00,,2488.00,100.00,0.00,906400,110400.00,2624.00,476000.00,1504000.00,719339.00,3659256.00,4200,-131357.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","104","12",1350400.00,3860786.00,4310.00,,2280.00,100.00,0.00,784800,110400.00,3016.00,455200.00,1228800.00,719339.00,3260856.00,3632,-119405.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","01",1145600.00,3374793.00,4310.00,,1824.00,100.00,0.00,666400,81600.00,1880.00,397600.00,1148000.00,719339.00,2759832.00,2904,-104375.10,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","02",1004800.00,2921780.00,4310.00,,1592.00,100.00,0.00,495200,94400.00,1544.00,415200.00,1039200.00,719339.00,2292808.00,2288,-90364.40,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","03",826400.00,2441063.00,4310.00,,1344.00,100.00,0.00,356000,66400.00,1312.00,404000.00,827200.00,719339.00,1797224.00,1936,-75496.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","04",1083200.00,3200992.00,4310.00,,1816.00,100.00,0.00,609600,83200.00,1856.00,390400.00,1178400.00,719339.00,2580656.00,2464,-98999.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","05",1306400.00,3387959.00,4310.00,,2288.00,100.00,0.00,726400,128800.00,2592.00,451200.00,1280000.00,719339.00,2720216.00,3760,-51593.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","06",1600800.00,4134996.00,4310.00,,2720.00,100.00,0.00,988800,104000.00,2736.00,508000.00,1592000.00,719339.00,3452392.00,4432,-62349.30,40723.60,-3.00,,-15106.10,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","07",1588000.00,5163360.00,4310.00,4360.00,2720.00,100.00,464800.00,482400,128800.00,3704.00,512000.00,1742400.00,963716.00,4255576.00,4192,-78289.30,22360.00,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","08",1438400.00,4626239.00,4310.00,3776.00,2088.00,100.00,395200.00,400000,145600.00,2656.00,497600.00,1485600.00,963716.00,3732976.00,3600,-70450.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","09",1449600.00,4781475.00,4310.00,3816.00,2000.00,100.00,430400.00,432000,116000.00,2488.00,471200.00,1368000.00,963716.00,3890576.00,3536,-72814.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","10",1404800.00,4595452.00,4310.00,4296.00,2472.00,100.00,396000.00,416800,113600.00,3040.00,478400.00,1456800.00,963716.00,3701720.00,3760,-69981.50,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","11",1561600.00,3946454.00,4310.00,,2488.00,100.00,0.00,896000,143200.00,2912.00,522400.00,1492800.00,719339.00,3287216.00,4112,-60098.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","105","12",1272000.00,3364673.00,4310.00,,2152.00,100.00,0.00,747200,103200.00,2648.00,421600.00,1350400.00,719339.00,2696576.00,3456,-51238.70,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","01",1132000.00,2938711.00,4310.00,,1752.00,100.00,0.00,633600,100800.00,1688.00,397600.00,1145600.00,719339.00,2357848.00,2928,-46157.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","02",976000.00,2489074.00,4310.00,,1608.00,100.00,0.00,456800,60000.00,1848.00,459200.00,1004800.00,719339.00,1887024.00,2488,-39095.40,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","03",863200.00,2301433.00,4310.00,,1368.00,100.00,0.00,409600,75200.00,1616.00,378400.00,826400.00,719339.00,1688280.00,2320,-36114.20,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","04",1156800.00,3000174.00,4310.00,,1920.00,100.00,0.00,657600,88800.00,2088.00,410400.00,1083200.00,719339.00,2417376.00,2920,-47050.70,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","05",1224800.00,3069783.00,4310.00,,2328.00,100.00,0.00,645600,115200.00,2376.00,464000.00,1306400.00,719339.00,2495096.00,3736,-48216.50,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","06",1537600.00,3780234.00,4310.00,,3144.00,99.00,0.00,893600,112000.00,2576.00,532000.00,1600800.00,719339.00,3239024.00,4216,-59375.40,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","07",1610400.00,5207008.00,4310.00,4696.00,2896.00,99.00,477600.00,503200,131200.00,3464.00,498400.00,1588000.00,963716.00,4356568.00,4312,-79804.20,172619.20,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","08",1444800.00,4493819.00,4310.00,3840.00,2152.00,100.00,394400.00,401600,146400.00,2688.00,502400.00,1438400.00,963716.00,3741336.00,3816,-70575.70,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","09",1383200.00,4465516.00,4310.00,3792.00,2016.00,100.00,419200.00,420800,96800.00,2536.00,446400.00,1449600.00,963716.00,3744848.00,3704,-70628.40,,-3.00,,-31160.10,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","10",1561600.00,4974982.00,4310.00,4400.00,2768.00,99.00,463200.00,470400,152000.00,2816.00,476000.00,1404800.00,963716.00,4211336.00,4232,-77625.70,40248.00,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","11",1467200.00,3677705.00,4310.00,,2536.00,99.00,0.00,821600,108800.00,2384.00,536800.00,1561600.00,719339.00,3045680.00,4664,-56475.20,118165.20,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","106","12",1216000.00,3117065.00,3850.00,,2024.00,100.00,0.00,722400,95200.00,2360.00,398400.00,1272000.00,675833.70,2588112.00,3432,-48959.10,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","01",1076800.00,2707771.00,3850.00,,2000.00,100.00,0.00,566400,103200.00,2120.00,407200.00,1132000.00,642565.00,2192800.00,2784,-42530.40,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","02",995200.00,2551912.00,3850.00,,1568.00,100.00,0.00,531200,76000.00,1584.00,388000.00,976000.00,642565.00,2028368.00,2064,-40063.90,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","03",784800.00,1993133.00,3850.00,,1376.00,100.00,0.00,316000,54400.00,1376.00,414400.00,863200.00,642565.00,1444488.00,2040,-31305.70,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","04",1108800.00,2819040.00,3850.00,,1816.00,100.00,0.00,616800,109600.00,2464.00,382400.00,1156800.00,642565.00,2309312.00,2704,-44278.10,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","05",1164800.00,2954466.00,3850.00,,2336.00,100.00,0.00,603200,94400.00,2456.00,467200.00,1224800.00,642565.00,2451120.00,3528,-46405.20,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","06",1655200.00,4495479.00,3850.00,,3616.00,99.00,0.00,1011200,122400.00,2960.00,521600.00,1537600.00,642565.00,3718104.00,4688,-65410.00,355330.10,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","07",1529600.00,5190677.00,3850.00,4472.00,2688.00,99.00,439200.00,451200,151200.00,3296.00,488000.00,1610400.00,860860.00,4272840.00,4264,-77005.50,331151.60,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","08",1369600.00,4475062.00,3850.00,3784.00,2272.00,99.00,400000.00,396000,112000.00,2528.00,461600.00,1444800.00,860860.00,3825072.00,3552,-70288.90,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","09",1363200.00,4486041.00,3850.00,3704.00,1896.00,99.00,402400.00,404000,110400.00,2472.00,446400.00,1383200.00,860860.00,150577.80,3528,-70461.40,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","10",1396000.00,4537741.00,3850.00,4120.00,2336.00,99.00,386400.00,391200,131200.00,2432.00,487200.00,1561600.00,860860.00,3825072.00,3824,3815608.00,120744.00,-3.00,-6149.00,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","11",1389600.00,3556002.00,3850.00,,2344.00,99.00,0.00,822400,104800.00,2304.00,462400.00,1467200.00,642565.00,3081000.00,3616,-55853.40,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","107","12",1229600.00,3210262.00,3850.00,,2120.00,100.00,0.00,720800,98400.00,2512.00,410400.00,1216000.00,642565.00,2718024.00,3288,-50408.80,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","108","01",1116800.00,2898955.00,3850.00,,1688.00,100.00,0.00,601600,99200.00,2200.00,416000.00,1076800.00,642565.00,2390304.00,2736,-45493.00,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","108","02",1045600.00,2745427.00,3850.00,,1744.00,100.00,0.00,560000,84000.00,1792.00,401600.00,995200.00,642565.00,2228856.00,2472,-43071.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","108","03",901600.00,2292327.00,3850.00,,1544.00,100.00,0.00,376000,62400.00,1976.00,463200.00,784800.00,642565.00,1750656.00,2928,-35898.30,,-3.00,,,
"A1","蘭潭","蘭潭-教學行政區","09-16-6190-00-0","108","04",1158400.00,2984399.00,3850.00,,1712.00,100.00,0.00,622400,108000.00,1784.00,428000.00,1108800.00,642565.00,2479128.00,3096,-46825.30,,-3.00,,,
