DataTimeStamp,sb-meter-11,sb-meter-12,sb-meter-13,sb-meter-21,sb-meter-22,sb-meter-31,sb-meter-32,sb-meter-33,yy-meter-10,yy-meter-11,yy-meter-12,yy-meter-13,yy-meter-14,yy-meter-15,yy-meter-16,yy-meter-17,yy-meter-18,yy-meter-19,yy-meter-20,yy-meter-21,yy-meter-22,yy-meter-23,yy-meter-24,yy-meter-25,yy-meter-26,yy-meter-27,yy-meter-28,yy-meter-29,yy-meter-30,yy-meter-34,yy-meter-35,yy-meter-36,yy-meter-37,yy-meter-38,yy-meter-39,yy-meter-4,yy-meter-40,yy-meter-41,yy-meter-42,yy-meter-43,yy-meter-44,yy-meter-45,yy-meter-46,yy-meter-47,yy-meter-5,yy-meter-6,yy-meter-62,yy-meter-63,yy-meter-64,yy-meter-65,yy-meter-66,yy-meter-67,yy-meter-68,yy-meter-69,yy-meter-7,yy-meter-70,yy-meter-71,yy-meter-72,yy-meter-73,yy-meter-74,yy-meter-75,yy-meter-76,yy-meter-77,yy-meter-78,yy-meter-79,yy-meter-8,yy-meter-80,yy-meter-81,yy-meter-83,yy-meter-84,yy-meter-86,yy-meter-9,yy-meter-C1,yy-meter-C10,yy-meter-C11,yy-meter-C2,yy-meter-C3,yy-meter-C4,yy-meter-C5,yy-meter-C6,yy-meter-C7,yy-meter-C8,yy-meter-C9
2023-05-01T00:00:00.000Z,228717.4833333333,36174.700000000004,4511.083333333333,,,95121.41666666667,8801.300000000001,90063.29999999997,1256.89115,25500.5564,262250.4608333333,46348.19756666667,60624.1669,11349.16565,52445.052516666656,49530.63733333335,44020.21021666667,13643.51808333333,44726.78008333334,17664.299433333334,113830.60233333331,36626.04856666666,7158.693916666666,7302.823683333332,10088.80158333333,13619.655949999998,6426.766866666667,-6258.883266666667,17243.066716666668,33400.411,3980.8794333333326,78436.40466666667,47770.18445,40527.72235,37262.05098333333,1130231.1743499998,37277.61581666668,423.39931666666666,-8374.444166666668,67629.56421666668,112428.08659999998,212553.15058333334,8513.037599999998,14348.675616666664,44033.72451666667,62570.63391666667,,,,9342.921500000002,75120.59476666665,17564.735783333334,1846.0363500000003,241.87455000000006,227464.7238166667,81050.05168333335,52052.64971666668,19320.23361666667,6924.721033333333,50383.04141666667,102499.64039999999,12638.562333333331,-9139.080216666667,56399.08811666667,6485.987983333333,171345.89068333327,7008.361933333334,12037.472483333331,181764.02963333332,,1214.2914833333334,2275.4390333333336,40187.6822,5630.1821,33391.91298333333,37800.28416666666,21145.2343,17888.8261,4167.990483333333,1532.384183333333,1285.62845,-15.124383333333299,52124.75674999999
2023-04-01T00:00:00.000Z,173571.11666666664,28503.28333333333,3996.8166666666675,8068.616666666667,1062.5833333333335,72349.7,9925.66666666667,68282.35,1292.751616666667,19874.782483333332,204953.13051666663,46884.17195000001,46957.11673333334,9500.9111,42692.8161,39458.20960000001,33485.74778333333,12536.0793,37687.82303333334,13254.024616666664,102903.68849999999,30326.46953333333,6723.280249999999,7300.296633333334,10012.106749999997,9826.105016666666,5656.224966666668,-6189.021516666666,14686.594400000002,31285.035766666668,2714.0163666666663,71320.41748333332,39920.721800000014,36701.99336666667,31165.73936666667,898774.8175666665,32267.300133333338,404.40746666666666,-11138.851883333335,56918.01593333334,88589.32269999999,162124.04481666666,7762.739433333334,13223.680783333331,28208.521566666663,43745.21643333333,,,,6901.782566666668,68383.86610000001,16268.686633333331,845.5586666666669,223.4099833333333,194823.67403333334,74638.18231666667,49847.25693333333,17378.509766666666,8137.069166666666,50028.6858,80098.75266666667,8934.254416666665,-14597.317183333334,38121.63093333334,2963.9013833333333,129254.21978333333,6990.531099999999,7061.440700000001,103422.77210000002,,1233.02255,2141.5325000000003,32556.614050000004,1913.7173833333334,22954.841099999998,29551.5072,18255.023966666668,12602.968900000002,2879.5688499999997,1096.9949000000001,914.3389500000004,-1100.6316499999996,30082.148950000006
2023-03-01T00:00:00.000Z,174757.03333333333,28935.90000000001,4336.549999999999,27262.450000000004,5627.683333333333,65571.73333333334,9036.866666666665,61745.03333333333,1230.5645333333332,17421.225,205076.02283333335,67353.73446666668,46410.535233333336,10245.574266666667,38838.65891666668,36900.45191666666,26980.22756666666,14216.274450000003,34682.26096666666,11646.446333333333,101157.77836666667,29933.67023333334,6684.678683333334,6950.0333833333325,9602.260816666667,9870.133399999999,6210.087900000002,-6789.478183333334,14943.57435,32213.135400000003,1138.9082666666668,67845.19873333332,36271.971733333325,33725.1419,27611.94315,878107.5838333333,30726.60356666666,392.2054833333334,-13568.486849999998,55539.41416666666,88433.63355000001,160727.94418333334,8147.765199999999,14631.86103333333,26143.833183333332,41819.764566666665,23.956799999999998,79.34573333333333,13.838000000000001,6620.363816666667,67036.31086666667,15948.192049999998,1024.19515,247.16033333333337,187336.8429833334,64680.68283333333,42248.064483333335,15365.20805,8854.275933333332,51910.14811666668,96149.15386666667,9280.437950000003,-15109.896299999997,32874.710300000006,2420.326266666667,106657.76356666668,7221.844766666667,6444.950266666666,112925.8313,,1171.0471166666666,2769.673683333333,30280.149683333337,2058.530983333333,19404.399100000002,25827.7992,18172.90118333333,13232.345383333331,3529.890366666667,1277.2859166666667,897.64795,-3114.259400000001,44236.98578333334
2023-02-01T00:00:00.000Z,124223.98333333334,23500.650000000005,3620.616666666667,39281.99999999999,7541.966666666668,54092.866666666676,3733.383333333333,50804.00000000001,1129.3954666666664,13612.584483333332,158508.5942833333,39311.801900000006,33756.330733333336,7644.4446499999995,29515.571250000005,29767.14218333334,22728.11826666667,11978.565616666669,29121.007049999997,8928.202583333335,83469.5192,23548.66715,5974.72625,5792.29715,8371.489499999998,7842.827316666666,5650.2788,-5159.805933333331,12582.676816666668,29559.157716666672,3351.524483333333,62888.235866666684,31685.888900000005,22671.174333333336,23409.49293333333,692345.4627000001,23238.869783333335,352.58133333333336,-10257.019866666667,46052.7158,74376.62115,115468.07293333336,6251.22275,13746.150450000001,21228.519099999998,33341.865549999995,297.3414,639.9268833333335,110.96901666666669,5317.45335,54451.69708333333,12985.816066666664,1017.9967666666669,220.66223333333335,152874.6243333334,47533.14745,30818.579999999998,11217.340783333333,8329.055049999999,47272.38846666668,53875.19996666667,5871.328083333334,-13070.147966666667,20242.263,2043.12295,94883.28715000002,6682.800399999999,3771.726566666667,55460.821816666656,,1082.11725,2266.9288999999994,24450.51943333333,-811.4272333333334,12240.321650000004,20792.717483333334,16035.708233333333,9284.318399999996,2630.6029,934.6870999999999,578.0270666666668,170.85199999999975,6601.817866666668
2023-01-01T00:00:00.000Z,133352.44999999998,25263.183333333334,3821.7666666666664,10228.816666666668,2574.95,54550.216666666674,2301.8833333333328,51084.11666666667,1353.4452166666665,12250.59705,156933.5202,34395.4242,37100.164000000004,5743.40975,28678.161566666666,31491.003566666666,21971.112549999998,11105.786783333335,27003.509283333333,8843.942633333334,88527.58483333334,23636.293700000006,6646.701116666666,6606.8170666666665,9269.889066666667,8244.527233333334,6164.957033333332,-5119.369199999999,12473.285766666666,31610.11396666667,5385.6497,66346.3453,31669.935100000002,25776.422566666664,20178.22963333334,698473.6387499999,24359.0757,385.4416333333333,-10295.517233333334,45088.46588333334,69707.00958333335,118812.6763,6115.608966666664,13093.006333333335,19896.19103333333,36391.84775,125.71228333333333,549.49945,119.11525,5383.534433333332,58420.47143333331,13775.969783333332,581.9526666666668,197.4646833333333,156483.53541666665,56393.02223333333,39998.15484999999,11677.941616666667,11220.701866666666,52280.84588333333,50594.4057,5871.0139500000005,-13144.93735,21580.797533333323,2203.1119333333327,102035.23183333335,7368.522416666667,3551.5811,54281.024150000005,,1286.1475833333336,2262.570016666666,26107.54155,-1499.293266666667,13653.5806,15719.119566666668,16349.172516666666,8908.902716666666,2318.163449999999,896.5422666666667,561.8800999999999,-4180.449883333332,-1695.8113499999963
2022-12-01T00:00:00.000Z,158852.65000000005,29926.433333333334,4548.449999999999,,,64988.466666666674,2454.4666666666667,61176,1422.4426,16955.475633333335,192829.29198333327,52269.49221666667,46139.32771666666,9648.60378333333,35599.68090000001,35044.20081666667,27235.886566666675,13080.206016666669,33004.46633333334,11032.642583333332,95825.20445000002,27201.157483333332,7108.9667833333315,7369.704833333334,9178.489533333332,10778.271916666665,6189.906283333334,-180.46699999999984,14571.25588333333,33514.81356666667,6774.40775,71039.24638333335,38824.8833,30052.850716666664,17762.693266666665,875409.8502166666,25215.80283333333,385.9131166666667,-6823.275499999999,54086.61848333333,87639.14998333335,148053.5152833333,6449.392616666667,13507.924666666668,27387.288449999993,49706.308000000005,214.65060000000005,586.6376499999999,174.51469999999998,6458.446050000001,62695.395799999984,14171.667766666666,812.7097833333335,219.89679999999998,178367.82095000002,69931.06125,47645.63853333333,16343.282999999998,10873.042633333333,53030.94571666666,89227.90683333333,9956.806483333334,-9356.673166666667,31605.83028333334,3822.207583333334,139602.92620000002,7398.332449999999,6294.429916666668,125379.41111666666,,1368.2279833333332,2594.7547166666673,28585.78355,2558.91965,17489.541416666667,22131.438999999995,18960.146916666665,12336.626283333333,2960.586983333334,1403.0174666666667,855.1295166666669,-7453.6471666666675,36198.19043333333
2022-11-01T00:00:00.000Z,188870.16666666666,33340.01666666667,4356.6,40230.88333333333,9741.150000000001,81222.36666666665,2608.533333333333,76782.23333333334,1319.4732166666665,21340.7285,227403.84946666664,77873.27038333335,51976.32526666667,9866.657816666668,44752.880450000004,39530.685366666665,35460.164633333334,12761.5293,38959.15843333333,13374.307633333332,102346.62205000002,31713.558683333333,7081.17635,7857.501549999999,8970.117016666667,11836.393316666668,5992.966283333333,2741.520533333333,15431.594216666668,32749.97998333333,7149.2909500000005,69084.10008333334,44655.08648333333,32105.53135,26119.324116666667,1039817.0199166664,28101.75336666667,366.4900833333333,-4993.326349999999,60639.40218333334,101721.34988333334,177496.05930000002,7497.656266666668,12978.85795,38843.479283333334,66737.19591666665,151.02571666666663,121.05066666666666,53.164549999999984,6623.584766666668,66393.69915,15178.708083333337,1985.7877166666665,237.41055000000003,202079.53141666672,78301.08410000001,50028.01838333335,19967.01881666667,7915.609883333332,48308.64305,97829.1658833333,12909.717083333335,-5597.800249999999,40651.56098333333,5675.25065,158826.34351666667,7129.9379333333345,7687.802983333335,160438.36130000002,,1251.8797499999998,2526.416233333334,34630.48508333333,6166.4686,23106.711683333335,32687.96428333333,21707.72283333333,16709.06306666667,3417.9619833333327,1612.8104833333334,1266.9674166666666,-1724.023149999999,49897.66225000001
2022-10-01T00:00:00.000Z,198046.1666666667,36306.799999999996,4413.466666666668,130986.25,29547.583333333336,87422.98333333334,4675.199999999999,82645.9,1350.0904333333337,23754.11866666667,265537.0846666667,84953.47288333334,57444.722783333345,11194.01151666667,47717.579133333325,45605.13158333334,40751.087966666666,13913.772866666663,42053.31708333334,15497.631899999997,112411.98441666666,36418.779566666664,7837.448916666666,9234.6587,10080.358766666668,13547.632633333335,6426.414616666669,2794.985266666667,16746.590383333332,34807.513183333336,6203.404750000001,73634.70915000001,51652.562233333345,35905.818383333324,33691.63389999999,1158867.9099333338,31584.458633333328,379.4828999999999,-5088.916666666667,69928.89786666667,114970.60466666668,214889.7454,6670.915100000002,13465.333633333335,41358.07606666668,69953.76196666667,1693.9240333333335,1269.7809166666664,454.51991666666675,7769.36015,73655.18994999999,16721.6686,2642.723116666666,197.13873333333333,224428.89436666662,88832.44794999997,57079.2379,22896.479966666666,8643.298200000001,51916.936449999994,94039.49241666666,16971.309300000004,-8675.528783333331,49003.974033333325,6399.094933333333,169692.95866666667,7137.730833333334,9863.50935,168640.63331666664,,1274.4004,2426.730433333334,37836.83325,9834.398683333337,24001.99586666667,33408.48323333333,22035.219083333333,18779.331483333328,3754.7802333333343,1944.2482166666668,1293.9196500000003,2105.3460833333324,42128.45188333332
2022-09-01T00:00:00.000Z,143407.56666666668,23886.58333333333,2727.033333333334,96566.98333333334,22203.85,61813.266666666656,4215.933333333333,58604.38333333333,979.3909000000001,21321.872633333332,216686.53561666666,75234.8996,49410.09726666667,8302.789933333333,38452.67576666666,37651.25308333334,37754.73796666666,10709.00915,44979.32255,16466.979733333334,112773.55040000001,39193.956216666666,8333.326866666665,9141.122783333334,10073.313083333336,14505.891666666665,6016.384483333332,3116.683033333334,17512.907633333336,34386.84001666667,4940.702216666668,71301.93454999999,52179.47134999999,35142.974966666676,32704.70573333333,981979.8440333334,33575.61756666666,389.38179999999994,-6316.173166666664,71585.35521666665,117628.27343333332,216101.31500000003,6649.340433333335,13272.774316666668,40309.976266666665,64238.75455,616.7264666666667,550.3074666666666,242.92305000000002,7449.087483333333,72771.3104,15498.884033333336,4661.26575,191.30235000000002,185809.14321666665,88279.52830000002,57230.003116666674,20764.50231666667,8399.68395,50560.75341666667,99326.89684999998,23327.655216666666,-9576.292599999999,51430.34623333334,13176.511800000002,130318.88138333334,6426.640316666665,11551.539683333334,200419.79708333337,,928.7578499999998,1391.5832,39529.97044999999,16901.862749999993,31272.417716666667,36578.84546666667,24502.888083333335,20225.1948,3987.4318000000003,1455.3090833333335,1367.9681333333333,-870.3896999999996,48769.928850000004
2022-08-01T00:00:00.000Z,34018.933333333334,5392.566666666667,997.5500000000001,2858.1499999999996,156.96666666666667,18906.800000000003,1225.45,17915.333333333336,805.8992999999998,18282.13535,163962.60351666663,42809.10053333334,35185.228266666665,3903.4112333333333,29691.014233333328,30594.18586666667,31715.363466666666,9365.553733333336,47091.3026,16967.466449999996,118601.07273333335,43650.08343333334,8447.453466666666,7659.461166666668,11010.153466666667,12590.56415,6022.56355,3071.3234666666667,17950.057966666667,35622.02826666667,2764.0050000000006,85568.05071666666,49814.91665,44205.76048333334,26373.415566666663,838656.7604500001,35943.74673333333,388.68663333333325,-8939.558183333333,69420.83408333332,106253.07310000002,207381.5162,6541.548733333335,16401.307583333328,28280.145166666665,49773.05268333333,1411.6766833333331,627.12085,733.9164000000002,7334.734333333332,76694.77894999999,16001.931,3796.5270666666665,226.99488333333338,144876.0850833333,85516.54873333334,57100.22765,22482.782150000003,9009.51285,51526.46220000001,37795.67423333333,16270.465033333334,-18793.49601666667,40947.19618333333,11776.3561,109546.38576666664,5648.2692,10192.223566666666,105894.148,,747.4735333333333,1086.2669499999997,40255.19716666667,10576.659450000001,30759.326549999998,38082.539266666674,25908.304500000002,9622.361599999998,1836.009283333334,671.6342166666667,862.67095,-9570.981,-13734.095166666666
