"帳單年","帳單月","總用電度","校區","用電建築物","公開報表序號"
"107","10",5250.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","06",19135.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","05",21665.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","07",16035.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","08",16426.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","09",1822.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","10",5014.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","11",13534.00,"蘭潭","游泳池、司令台、運動場","A406"
"109","02",8880.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","12",12873.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","01",9666.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","02",10392.00,"蘭潭","游泳池、司令台、運動場","A406"
"102","05",23587.00,"蘭潭","游泳池、司令台、運動場","A406"
"102","09",21613.00,"蘭潭","游泳池、司令台、運動場","A406"
"102","10",23008.00,"蘭潭","游泳池、司令台、運動場","A406"
"102","06",27613.00,"蘭潭","游泳池、司令台、運動場","A406"
"102","11",26095.00,"蘭潭","游泳池、司令台、運動場","A406"
"102","12",24284.00,"蘭潭","游泳池、司令台、運動場","A406"
"102","07",23831.00,"蘭潭","游泳池、司令台、運動場","A406"
"102","08",21357.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","01",21433.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","02",11912.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","03",8055.00,"蘭潭","游泳池、司令台、運動場","A406"
"106","01",10290.00,"蘭潭","游泳池、司令台、運動場","A406"
"107","11",3270.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","04",8881.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","04",21574.00,"蘭潭","游泳池、司令台、運動場","A406"
"103","03",10821.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","05",12055.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","06",10349.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","07",11172.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","08",9017.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","09",8384.00,"蘭潭","游泳池、司令台、運動場","A406"
"106","02",9780.00,"蘭潭","游泳池、司令台、運動場","A406"
"106","03",8730.00,"蘭潭","游泳池、司令台、運動場","A406"
"106","04",9330.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","10",9172.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","11",11442.00,"蘭潭","游泳池、司令台、運動場","A406"
"104","12",4777.00,"蘭潭","游泳池、司令台、運動場","A406"
"105","02",248.00,"蘭潭","游泳池、司令台、運動場","A406"
"105","03",1681.00,"蘭潭","游泳池、司令台、運動場","A406"
"105","04",8878.00,"蘭潭","游泳池、司令台、運動場","A406"
"105","05",11162.00,"蘭潭","游泳池、司令台、運動場","A406"
"105","01",997.00,"蘭潭","游泳池、司令台、運動場","A406"
"105","06",9791.00,"蘭潭","游泳池、司令台、運動場","A406"
"105","07",10801.00,"蘭潭","游泳池、司令台、運動場","A406"
"105","08",11040.00,"蘭潭","游泳池、司令台、運動場","A406"
"105","09",11073.00,"蘭潭","游泳池、司令台、運動場","A406"
"105","10",,"蘭潭","游泳池、司令台、運動場","A406"
"105","11",,"蘭潭","游泳池、司令台、運動場","A406"
"105","12",,"蘭潭","游泳池、司令台、運動場","A406"
"106","05",9840.00,"蘭潭","游泳池、司令台、運動場","A406"
"106","06",14160.00,"蘭潭","游泳池、司令台、運動場","A406"
"106","07",12390.00,"蘭潭","游泳池、司令台、運動場","A406"
"106","08",9780.00,"蘭潭","游泳池、司令台、運動場","A406"
"106","09",8070.00,"蘭潭","游泳池、司令台、運動場","A406"
"106","10",12030.00,"蘭潭","游泳池、司令台、運動場","A406"
"106","11",9660.00,"蘭潭","游泳池、司令台、運動場","A406"
"106","12",10710.00,"蘭潭","游泳池、司令台、運動場","A406"
"107","01",9090.00,"蘭潭","游泳池、司令台、運動場","A406"
"107","02",8850.00,"蘭潭","游泳池、司令台、運動場","A406"
"107","03",7710.00,"蘭潭","游泳池、司令台、運動場","A406"
"107","04",9570.00,"蘭潭","游泳池、司令台、運動場","A406"
"107","05",8490.00,"蘭潭","游泳池、司令台、運動場","A406"
"107","06",11370.00,"蘭潭","游泳池、司令台、運動場","A406"
"107","12",3150.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","01",3270.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","02",2430.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","03",2820.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","04",2790.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","05",6300.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","06",8670.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","07",7830.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","08",6060.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","09",12060.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","10",8730.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","11",10380.00,"蘭潭","游泳池、司令台、運動場","A406"
"108","12",8730.00,"蘭潭","游泳池、司令台、運動場","A406"
"109","01",8400.00,"蘭潭","游泳池、司令台、運動場","A406"
"102","03",3209.00,"蘭潭","蘭潭招待所","A407"
"107","07",6520.00,"蘭潭","蘭潭招待所","A407"
"107","08",9334.00,"蘭潭","蘭潭招待所","A407"
"102","04",3675.00,"蘭潭","蘭潭招待所","A407"
"107","09",5889.00,"蘭潭","蘭潭招待所","A407"
"107","10",6630.00,"蘭潭","蘭潭招待所","A407"
"103","06",5078.00,"蘭潭","蘭潭招待所","A407"
"103","05",4216.00,"蘭潭","蘭潭招待所","A407"
"103","07",6209.00,"蘭潭","蘭潭招待所","A407"
"103","08",9661.00,"蘭潭","蘭潭招待所","A407"
"103","09",7291.00,"蘭潭","蘭潭招待所","A407"
"103","10",6739.00,"蘭潭","蘭潭招待所","A407"
"109","02",4182.00,"蘭潭","蘭潭招待所","A407"
"103","11",6237.00,"蘭潭","蘭潭招待所","A407"
"103","12",4513.00,"蘭潭","蘭潭招待所","A407"
"104","01",4327.00,"蘭潭","蘭潭招待所","A407"
"104","02",4769.00,"蘭潭","蘭潭招待所","A407"
"102","05",3294.00,"蘭潭","蘭潭招待所","A407"
"102","09",4394.00,"蘭潭","蘭潭招待所","A407"
"102","06",5382.00,"蘭潭","蘭潭招待所","A407"
"102","10",3607.00,"蘭潭","蘭潭招待所","A407"
"102","11",3806.00,"蘭潭","蘭潭招待所","A407"
"102","12",3499.00,"蘭潭","蘭潭招待所","A407"
"102","07",6904.00,"蘭潭","蘭潭招待所","A407"
"102","08",5340.00,"蘭潭","蘭潭招待所","A407"
"103","01",3064.00,"蘭潭","蘭潭招待所","A407"
"103","02",3020.00,"蘭潭","蘭潭招待所","A407"
"104","03",3763.00,"蘭潭","蘭潭招待所","A407"
"106","01",3857.00,"蘭潭","蘭潭招待所","A407"
"107","11",6194.00,"蘭潭","蘭潭招待所","A407"
"104","04",4150.00,"蘭潭","蘭潭招待所","A407"
"103","04",3624.00,"蘭潭","蘭潭招待所","A407"
"103","03",2980.00,"蘭潭","蘭潭招待所","A407"
"104","05",5659.00,"蘭潭","蘭潭招待所","A407"
"104","06",4938.00,"蘭潭","蘭潭招待所","A407"
"104","07",6417.00,"蘭潭","蘭潭招待所","A407"
"104","08",6239.00,"蘭潭","蘭潭招待所","A407"
"104","09",5347.00,"蘭潭","蘭潭招待所","A407"
"106","02",2920.00,"蘭潭","蘭潭招待所","A407"
"106","03",3099.00,"蘭潭","蘭潭招待所","A407"
"106","04",4046.00,"蘭潭","蘭潭招待所","A407"
"104","10",5289.00,"蘭潭","蘭潭招待所","A407"
"104","11",5155.00,"蘭潭","蘭潭招待所","A407"
"104","12",4855.00,"蘭潭","蘭潭招待所","A407"
"105","02",3495.00,"蘭潭","蘭潭招待所","A407"
"105","03",3571.00,"蘭潭","蘭潭招待所","A407"
"105","04",4145.00,"蘭潭","蘭潭招待所","A407"
"105","05",4941.00,"蘭潭","蘭潭招待所","A407"
"105","01",4694.00,"蘭潭","蘭潭招待所","A407"
"105","06",5532.00,"蘭潭","蘭潭招待所","A407"
"105","07",6352.00,"蘭潭","蘭潭招待所","A407"
"105","08",7135.00,"蘭潭","蘭潭招待所","A407"
"105","09",5912.00,"蘭潭","蘭潭招待所","A407"
"105","10",4511.00,"蘭潭","蘭潭招待所","A407"
"105","11",5071.00,"蘭潭","蘭潭招待所","A407"
"105","12",5385.00,"蘭潭","蘭潭招待所","A407"
"106","05",4344.00,"蘭潭","蘭潭招待所","A407"
"106","06",7147.00,"蘭潭","蘭潭招待所","A407"
"106","07",6929.00,"蘭潭","蘭潭招待所","A407"
"106","08",6912.00,"蘭潭","蘭潭招待所","A407"
"106","09",7928.00,"蘭潭","蘭潭招待所","A407"
"106","10",6332.00,"蘭潭","蘭潭招待所","A407"
"106","11",4315.00,"蘭潭","蘭潭招待所","A407"
"106","12",4764.00,"蘭潭","蘭潭招待所","A407"
"107","01",4179.00,"蘭潭","蘭潭招待所","A407"
"107","02",3684.00,"蘭潭","蘭潭招待所","A407"
"107","03",3965.00,"蘭潭","蘭潭招待所","A407"
"107","04",4004.00,"蘭潭","蘭潭招待所","A407"
"107","05",4506.00,"蘭潭","蘭潭招待所","A407"
"107","06",7676.00,"蘭潭","蘭潭招待所","A407"
"107","12",6060.00,"蘭潭","蘭潭招待所","A407"
"108","01",5267.00,"蘭潭","蘭潭招待所","A407"
"108","02",3698.00,"蘭潭","蘭潭招待所","A407"
"108","03",4018.00,"蘭潭","蘭潭招待所","A407"
"108","04",3895.00,"蘭潭","蘭潭招待所","A407"
"108","05",6253.00,"蘭潭","蘭潭招待所","A407"
"108","06",5993.00,"蘭潭","蘭潭招待所","A407"
"108","07",7986.00,"蘭潭","蘭潭招待所","A407"
"108","08",6037.00,"蘭潭","蘭潭招待所","A407"
"108","09",9383.00,"蘭潭","蘭潭招待所","A407"
"108","10",5437.00,"蘭潭","蘭潭招待所","A407"
"108","11",6751.00,"蘭潭","蘭潭招待所","A407"
"108","12",5803.00,"蘭潭","蘭潭招待所","A407"
"109","01",4485.00,"蘭潭","蘭潭招待所","A407"
"102","03",53956.00,"蘭潭","水生館、魚類保育研究中心","A301"
"100","06",127122.00,"蘭潭","水生館、魚類保育研究中心","A301"
"100","07",109684.00,"蘭潭","水生館、魚類保育研究中心","A301"
"100","08",124210.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","07",61000.00,"蘭潭","水生館、魚類保育研究中心","A301"
"100","05",85306.00,"蘭潭","水生館、魚類保育研究中心","A301"
"100","09",129500.00,"蘭潭","水生館、魚類保育研究中心","A301"
"100","10",111736.00,"蘭潭","水生館、魚類保育研究中心","A301"
"100","11",99352.00,"蘭潭","水生館、魚類保育研究中心","A301"
"100","12",76352.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","01",56854.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","08",67300.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","02",17900.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","02",44450.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","03",59990.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","04",58920.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","05",58988.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","06",68482.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","07",67210.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","08",72532.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","09",63696.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","10",53804.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","11",63620.00,"蘭潭","水生館、魚類保育研究中心","A301"
"101","12",53076.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","01",59212.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","04",57328.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","09",55100.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","10",59600.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","06",59802.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","05",47104.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","07",64550.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","08",66888.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","09",66598.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","10",59010.00,"蘭潭","水生館、魚類保育研究中心","A301"
"109","02",43400.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","11",63214.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","12",54098.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","01",54626.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","02",59494.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","05",58136.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","09",58046.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","06",77028.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","10",56576.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","11",57750.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","12",54836.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","07",75276.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","08",60220.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","01",55456.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","02",59596.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","03",39998.00,"蘭潭","水生館、魚類保育研究中心","A301"
"106","01",46900.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","11",60100.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","04",49372.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","04",55076.00,"蘭潭","水生館、魚類保育研究中心","A301"
"103","03",51376.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","05",57158.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","06",50300.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","07",70428.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","08",66162.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","09",62342.00,"蘭潭","水生館、魚類保育研究中心","A301"
"106","02",45400.00,"蘭潭","水生館、魚類保育研究中心","A301"
"106","03",44700.00,"蘭潭","水生館、魚類保育研究中心","A301"
"106","04",50300.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","10",59254.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","11",64372.00,"蘭潭","水生館、魚類保育研究中心","A301"
"104","12",52326.00,"蘭潭","水生館、魚類保育研究中心","A301"
"105","02",44026.00,"蘭潭","水生館、魚類保育研究中心","A301"
"105","03",40990.00,"蘭潭","水生館、魚類保育研究中心","A301"
"105","04",44412.00,"蘭潭","水生館、魚類保育研究中心","A301"
"105","05",66664.00,"蘭潭","水生館、魚類保育研究中心","A301"
"105","01",49632.00,"蘭潭","水生館、魚類保育研究中心","A301"
"105","06",70600.00,"蘭潭","水生館、魚類保育研究中心","A301"
"105","07",64838.00,"蘭潭","水生館、魚類保育研究中心","A301"
"105","08",70596.00,"蘭潭","水生館、魚類保育研究中心","A301"
"105","09",69666.00,"蘭潭","水生館、魚類保育研究中心","A301"
"105","10",,"蘭潭","水生館、魚類保育研究中心","A301"
"105","11",,"蘭潭","水生館、魚類保育研究中心","A301"
"105","12",,"蘭潭","水生館、魚類保育研究中心","A301"
"106","05",56000.00,"蘭潭","水生館、魚類保育研究中心","A301"
"106","06",72300.00,"蘭潭","水生館、魚類保育研究中心","A301"
"106","07",62700.00,"蘭潭","水生館、魚類保育研究中心","A301"
"106","08",61400.00,"蘭潭","水生館、魚類保育研究中心","A301"
"106","09",62700.00,"蘭潭","水生館、魚類保育研究中心","A301"
"106","10",65700.00,"蘭潭","水生館、魚類保育研究中心","A301"
"106","11",58000.00,"蘭潭","水生館、魚類保育研究中心","A301"
"106","12",54800.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","01",48600.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","02",46800.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","03",44100.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","04",53600.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","05",56000.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","06",67600.00,"蘭潭","水生館、魚類保育研究中心","A301"
"107","12",50300.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","01",50800.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","02",38500.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","03",45600.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","04",48400.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","05",60300.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","06",69100.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","07",57500.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","08",59800.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","09",72200.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","10",49900.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","11",60100.00,"蘭潭","水生館、魚類保育研究中心","A301"
"108","12",45400.00,"蘭潭","水生館、魚類保育研究中心","A301"
"109","01",43600.00,"蘭潭","水生館、魚類保育研究中心","A301"
"102","03",32990.00,"蘭潭","生命科學館","A302"
"100","06",65000.00,"蘭潭","生命科學館","A302"
"100","07",54936.00,"蘭潭","生命科學館","A302"
"100","08",67924.00,"蘭潭","生命科學館","A302"
"107","07",45171.00,"蘭潭","生命科學館","A302"
"100","05",37404.00,"蘭潭","生命科學館","A302"
"100","09",67290.00,"蘭潭","生命科學館","A302"
"100","10",27395.00,"蘭潭","生命科學館","A302"
"100","11",,"蘭潭","生命科學館","A302"
"100","12",47133.00,"蘭潭","生命科學館","A302"
"101","01",38914.00,"蘭潭","生命科學館","A302"
"107","08",51935.00,"蘭潭","生命科學館","A302"
"102","02",8338.00,"蘭潭","生命科學館","A302"
"101","02",25757.00,"蘭潭","生命科學館","A302"
"101","03",33589.00,"蘭潭","生命科學館","A302"
"101","04",46864.00,"蘭潭","生命科學館","A302"
"101","05",52626.00,"蘭潭","生命科學館","A302"
"101","06",64090.00,"蘭潭","生命科學館","A302"
"101","07",60497.00,"蘭潭","生命科學館","A302"
"101","08",66463.00,"蘭潭","生命科學館","A302"
"101","09",56705.00,"蘭潭","生命科學館","A302"
"101","10",39610.00,"蘭潭","生命科學館","A302"
"101","11",48619.00,"蘭潭","生命科學館","A302"
"101","12",40112.00,"蘭潭","生命科學館","A302"
"102","01",38049.00,"蘭潭","生命科學館","A302"
"102","04",43031.00,"蘭潭","生命科學館","A302"
"107","09",39075.00,"蘭潭","生命科學館","A302"
"107","10",44354.00,"蘭潭","生命科學館","A302"
"103","06",56172.00,"蘭潭","生命科學館","A302"
"103","05",44348.00,"蘭潭","生命科學館","A302"
"103","07",60220.00,"蘭潭","生命科學館","A302"
"103","08",66752.00,"蘭潭","生命科學館","A302"
"103","09",61058.00,"蘭潭","生命科學館","A302"
"103","10",56906.00,"蘭潭","生命科學館","A302"
"109","02",14749.00,"蘭潭","生命科學館","A302"
"103","11",57620.00,"蘭潭","生命科學館","A302"
"103","12",45838.00,"蘭潭","生命科學館","A302"
"104","01",31073.00,"蘭潭","生命科學館","A302"
"104","02",33709.00,"蘭潭","生命科學館","A302"
"102","05",45373.00,"蘭潭","生命科學館","A302"
"102","09",58110.00,"蘭潭","生命科學館","A302"
"102","06",58326.00,"蘭潭","生命科學館","A302"
"102","10",54726.00,"蘭潭","生命科學館","A302"
"102","11",50376.00,"蘭潭","生命科學館","A302"
"102","12",44020.00,"蘭潭","生命科學館","A302"
"102","07",62694.00,"蘭潭","生命科學館","A302"
"102","08",64791.00,"蘭潭","生命科學館","A302"
"103","01",34387.00,"蘭潭","生命科學館","A302"
"103","02",30421.00,"蘭潭","生命科學館","A302"
"104","03",21711.00,"蘭潭","生命科學館","A302"
"106","01",17263.00,"蘭潭","生命科學館","A302"
"107","11",35284.00,"蘭潭","生命科學館","A302"
"104","04",38400.00,"蘭潭","生命科學館","A302"
"103","04",37671.00,"蘭潭","生命科學館","A302"
"103","03",28691.00,"蘭潭","生命科學館","A302"
"104","05",52601.00,"蘭潭","生命科學館","A302"
"104","06",46315.00,"蘭潭","生命科學館","A302"
"104","07",61844.00,"蘭潭","生命科學館","A302"
"104","08",62037.00,"蘭潭","生命科學館","A302"
"104","09",51619.00,"蘭潭","生命科學館","A302"
"106","02",10656.00,"蘭潭","生命科學館","A302"
"106","03",10482.00,"蘭潭","生命科學館","A302"
"106","04",20816.00,"蘭潭","生命科學館","A302"
"104","10",48230.00,"蘭潭","生命科學館","A302"
"104","11",47807.00,"蘭潭","生命科學館","A302"
"104","12",39492.00,"蘭潭","生命科學館","A302"
"105","02",23334.00,"蘭潭","生命科學館","A302"
"105","03",10494.00,"蘭潭","生命科學館","A302"
"105","04",23534.00,"蘭潭","生命科學館","A302"
"105","05",44474.00,"蘭潭","生命科學館","A302"
"105","01",31015.00,"蘭潭","生命科學館","A302"
"105","06",55535.00,"蘭潭","生命科學館","A302"
"105","07",50840.00,"蘭潭","生命科學館","A302"
"105","08",55604.00,"蘭潭","生命科學館","A302"
"105","09",50882.00,"蘭潭","生命科學館","A302"
"105","10",45979.00,"蘭潭","生命科學館","A302"
"105","11",42323.00,"蘭潭","生命科學館","A302"
"105","12",32195.00,"蘭潭","生命科學館","A302"
"106","05",28334.00,"蘭潭","生命科學館","A302"
"106","06",46998.00,"蘭潭","生命科學館","A302"
"106","07",41081.00,"蘭潭","生命科學館","A302"
"106","08",52181.00,"蘭潭","生命科學館","A302"
"106","09",54484.00,"蘭潭","生命科學館","A302"
"106","10",53411.00,"蘭潭","生命科學館","A302"
"106","11",38732.00,"蘭潭","生命科學館","A302"
"106","12",28507.00,"蘭潭","生命科學館","A302"
"107","01",10899.00,"蘭潭","生命科學館","A302"
"107","02",8013.00,"蘭潭","生命科學館","A302"
"107","03",5157.00,"蘭潭","生命科學館","A302"
"107","04",31429.00,"蘭潭","生命科學館","A302"
"107","05",33632.00,"蘭潭","生命科學館","A302"
"107","06",48246.00,"蘭潭","生命科學館","A302"
"107","12",22196.00,"蘭潭","生命科學館","A302"
"108","01",26443.00,"蘭潭","生命科學館","A302"
"108","02",20722.00,"蘭潭","生命科學館","A302"
"108","03",15343.00,"蘭潭","生命科學館","A302"
"108","04",18205.00,"蘭潭","生命科學館","A302"
"108","05",34008.00,"蘭潭","生命科學館","A302"
"108","06",38658.00,"蘭潭","生命科學館","A302"
"108","07",33213.00,"蘭潭","生命科學館","A302"
"108","08",40812.00,"蘭潭","生命科學館","A302"
"108","09",50502.00,"蘭潭","生命科學館","A302"
"108","10",30848.00,"蘭潭","生命科學館","A302"
"108","11",27858.00,"蘭潭","生命科學館","A302"
"108","12",18424.00,"蘭潭","生命科學館","A302"
"109","01",19105.00,"蘭潭","生命科學館","A302"
"102","03",17789.00,"蘭潭","生物資源館","A303"
"100","06",37348.00,"蘭潭","生物資源館","A303"
"100","07",32577.00,"蘭潭","生物資源館","A303"
"100","08",38287.00,"蘭潭","生物資源館","A303"
"107","07",13200.00,"蘭潭","生物資源館","A303"
"100","05",21674.00,"蘭潭","生物資源館","A303"
"100","09",39379.00,"蘭潭","生物資源館","A303"
"100","10",37760.00,"蘭潭","生物資源館","A303"
"100","11",36128.00,"蘭潭","生物資源館","A303"
"100","12",31408.00,"蘭潭","生物資源館","A303"
"101","01",28685.00,"蘭潭","生物資源館","A303"
"107","08",14600.00,"蘭潭","生物資源館","A303"
"102","02",5358.00,"蘭潭","生物資源館","A303"
"101","02",21376.00,"蘭潭","生物資源館","A303"
"101","03",25807.00,"蘭潭","生物資源館","A303"
"101","04",30224.00,"蘭潭","生物資源館","A303"
"101","05",29392.00,"蘭潭","生物資源館","A303"
"101","06",36838.00,"蘭潭","生物資源館","A303"
"101","07",33353.00,"蘭潭","生物資源館","A303"
"101","08",33805.00,"蘭潭","生物資源館","A303"
"101","09",29866.00,"蘭潭","生物資源館","A303"
"101","10",26423.00,"蘭潭","生物資源館","A303"
"101","11",30318.00,"蘭潭","生物資源館","A303"
"101","12",23296.00,"蘭潭","生物資源館","A303"
"102","01",21591.00,"蘭潭","生物資源館","A303"
"102","04",18019.00,"蘭潭","生物資源館","A303"
"107","09",11800.00,"蘭潭","生物資源館","A303"
"107","10",12700.00,"蘭潭","生物資源館","A303"
"103","06",7700.00,"蘭潭","生物資源館","A303"
"103","05",6200.00,"蘭潭","生物資源館","A303"
"103","07",8900.00,"蘭潭","生物資源館","A303"
"103","08",9300.00,"蘭潭","生物資源館","A303"
"103","09",11100.00,"蘭潭","生物資源館","A303"
"103","10",9400.00,"蘭潭","生物資源館","A303"
"109","02",8800.00,"蘭潭","生物資源館","A303"
"103","11",10000.00,"蘭潭","生物資源館","A303"
"103","12",8000.00,"蘭潭","生物資源館","A303"
"104","01",6600.00,"蘭潭","生物資源館","A303"
"104","02",7300.00,"蘭潭","生物資源館","A303"
"102","05",13567.00,"蘭潭","生物資源館","A303"
"102","09",10557.00,"蘭潭","生物資源館","A303"
"102","06",15263.00,"蘭潭","生物資源館","A303"
"102","10",7428.00,"蘭潭","生物資源館","A303"
"102","11",6060.00,"蘭潭","生物資源館","A303"
"102","12",3034.00,"蘭潭","生物資源館","A303"
"102","07",16288.00,"蘭潭","生物資源館","A303"
"102","08",16282.00,"蘭潭","生物資源館","A303"
"103","01",0.00,"蘭潭","生物資源館","A303"
"103","02",8100.00,"蘭潭","生物資源館","A303"
"104","03",5000.00,"蘭潭","生物資源館","A303"
"106","01",10800.00,"蘭潭","生物資源館","A303"
"107","11",12900.00,"蘭潭","生物資源館","A303"
"104","04",8000.00,"蘭潭","生物資源館","A303"
"103","04",5900.00,"蘭潭","生物資源館","A303"
"103","03",4500.00,"蘭潭","生物資源館","A303"
"104","05",10700.00,"蘭潭","生物資源館","A303"
"104","06",9800.00,"蘭潭","生物資源館","A303"
"104","07",12800.00,"蘭潭","生物資源館","A303"
"104","08",11900.00,"蘭潭","生物資源館","A303"
"104","09",11700.00,"蘭潭","生物資源館","A303"
"106","02",9000.00,"蘭潭","生物資源館","A303"
"106","03",8500.00,"蘭潭","生物資源館","A303"
"106","04",9800.00,"蘭潭","生物資源館","A303"
"104","10",13800.00,"蘭潭","生物資源館","A303"
"104","11",16500.00,"蘭潭","生物資源館","A303"
"104","12",13000.00,"蘭潭","生物資源館","A303"
"105","02",10600.00,"蘭潭","生物資源館","A303"
"105","03",8200.00,"蘭潭","生物資源館","A303"
"105","04",8800.00,"蘭潭","生物資源館","A303"
"105","05",12500.00,"蘭潭","生物資源館","A303"
"105","01",12200.00,"蘭潭","生物資源館","A303"
"105","06",13800.00,"蘭潭","生物資源館","A303"
"105","07",14000.00,"蘭潭","生物資源館","A303"
"105","08",15600.00,"蘭潭","生物資源館","A303"
"105","09",13600.00,"蘭潭","生物資源館","A303"
"105","10",13000.00,"蘭潭","生物資源館","A303"
"105","11",13300.00,"蘭潭","生物資源館","A303"
"105","12",13000.00,"蘭潭","生物資源館","A303"
"106","05",11100.00,"蘭潭","生物資源館","A303"
"106","06",15300.00,"蘭潭","生物資源館","A303"
"106","07",13000.00,"蘭潭","生物資源館","A303"
"106","08",12300.00,"蘭潭","生物資源館","A303"
